iter	Passed	Remaining
401	15318	22787
402	15361	22756
403	15400	22720
404	15438	22680
405	15478	22645
406	15519	22611
407	15559	22576
408	15596	22536
409	15632	22495
410	15669	22455
411	15709	22420
412	15749	22384
413	15783	22340
414	15825	22308
415	15861	22266
416	15903	22234
417	15941	22195
418	15979	22157
419	16021	22124
420	16058	22085
421	16098	22049
422	16139	22014
423	16176	21975
424	16187	21901
425	16224	21860
426	16261	21822
427	16303	21788
428	16338	21746
429	16373	21704
430	16409	21662
431	16443	21620
432	16488	21591
433	16524	21549
434	16559	21508
435	16596	21468
436	16630	21425
437	16675	21396
438	16710	21354
439	16745	21312
440	16781	21271
441	16815	21228
442	16855	21193
443	16890	21151
444	16926	21110
445	16963	21070
446	17000	21031
447	17044	21001
448	17080	20961
449	17119	20924
450	17161	20890
451	17198	20851
452	17237	20814
453	17274	20775
454	17310	20734
455	17344	20692
456	17379	20650
457	17422	20617
458	17458	20577
459	17493	20535
460	17528	20494
461	17567	20457
462	17609	20423
463	17646	20385
464	17681	20343
465	17721	20307
466	17757	20267
467	17798	20232
468	17834	20192
469	17852	20131
470	17887	20090
471	17922	20048
472	17959	20009
473	17999	19974
474	18034	19932
475	18069	19891
476	18103	19849
477	18145	19815
478	18187	19782
479	18223	19741
480	18258	19701
481	18294	19660
482	18335	19626
483	18382	19598
484	18424	19564
485	18467	19531
486	18510	19499
487	18551	19463
488	18590	19426
489	18629	19389
490	18663	19347
491	18699	19307
492	18734	19267
493	18777	19233
494	18813	19193
495	18849	19153
496	18884	19112
497	18919	19071
498	18959	19035
499	19000	19000
500	19035	18959
501	19070	18918
502	19106	18878
503	19150	18846
504	19186	18806
505	19222	18766
506	19232	18701
507	19269	18662
508	19278	18597
509	19317	18559
510	19360	18526
511	19395	18486
512	19430	18445
513	19465	18405
514	19500	18364
515	19507	18297
516	19549	18263
517	19588	18227
518	19621	18185
519	19655	18143
520	19691	18104
521	19732	18069
522	19769	18030
523	19804	17990
524	19840	17951
525	19880	17915
526	19921	17880
527	19959	17842
528	19993	17801
529	20028	17761
530	20065	17722
531	20109	17690
532	20146	17652
533	20181	17611
534	20222	17576
535	20258	17537
536	20301	17504
537	20337	17464
538	20372	17424
539	20407	17383
540	20441	17342
541	20476	17302
542	20518	17268
543	20553	17228
544	20589	17189
545	20625	17150
546	20662	17111
547	20702	17075
548	20736	17034
549	20770	16994
550	20805	16954
551	20840	16913
552	20881	16878
553	20917	16839
554	20954	16801
555	20991	16763
556	21033	16728
557	21077	16695
558	21115	16658
559	21153	16620
560	21170	16566
561	21205	16526
562	21239	16485
563	21280	16451
564	21317	16412
565	21356	16375
566	21389	16334
567	21424	16294
568	21466	16259
569	21512	16228
570	21552	16192
571	21595	16158
572	21636	16123
573	21673	16085
574	21715	16050
575	21750	16010
576	21784	15970
577	21818	15930
578	21861	15895
579	21895	15855
580	21931	15816
581	21965	15775
582	21999	15735
583	22035	15696
584	22075	15660
585	22111	15621
586	22146	15581
587	22181	15542
588	22222	15506
589	22262	15470
590	22298	15431
591	22333	15392
592	22368	15352
593	22402	15312
594	22443	15276
595	22480	15238
596	22514	15198
597	22549	15158
598	22585	15120
599	22635	15090
600	22684	15059
601	22728	15026
602	22777	14996
603	22821	14962
604	22863	14927
605	22902	14890
606	22938	14851
607	22991	14823
608	23036	14790
609	23073	14751
610	23112	14714
611	23147	14675
612	23182	14635
613	23224	14600
614	23261	14561
615	23298	14523
616	23332	14483
617	23366	14443
618	23409	14408
619	23448	14371
620	23487	14334
621	23530	14299
622	23573	14265
623	23632	14239
624	23672	14203
625	23718	14170
626	23753	14130
627	23797	14096
628	23833	14057
629	23868	14017
630	23902	13977
631	23937	13938
632	23982	13904
633	24019	13865
634	24054	13826
635	24091	13788
636	24128	13749
637	24173	13715
638	24209	13677
639	24247	13639
640	24289	13603
641	24335	13570
642	24377	13534
643	24417	13497
644	24436	13449
645	24473	13411
646	24508	13371
647	24543	13332
648	24587	13297
649	24626	13260
650	24663	13222
651	24701	13184
652	24737	13145
653	24779	13109
654	24819	13073
655	24856	13034
656	24892	12995
657	24928	12956
658	24969	12920
659	25007	12882
660	25048	12846
661	25088	12809
662	25125	12770
663	25165	12734
664	25202	12696
665	25238	12657
666	25273	12617
667	25310	12579
668	25349	12542
669	25384	12502
670	25419	12463
671	25457	12425
672	25492	12386
673	25533	12350
674	25568	12310
675	25603	12271
676	25642	12234
677	25676	12194
678	25727	12162
679	25777	12130
680	25829	12099
681	25870	12062
682	25913	12027
683	25958	11992
684	26001	11956
685	26041	11919
686	26081	11882
687	26121	11845
688	26156	11806
689	26193	11767
690	26231	11729
691	26269	11692
692	26307	11654
693	26343	11615
694	26381	11577
695	26418	11539
696	26460	11502
697	26496	11463
698	26534	11426
699	26570	11387
700	26607	11348
701	26643	11310
702	26682	11272
703	26717	11233
704	26753	11194
705	26787	11155
706	26822	11116
707	26864	11079
708	26900	11041
709	26936	11002
710	26972	10963
711	27010	10925
712	27047	10887
713	27088	10850
714	27124	10811
715	27159	10772
716	27194	10733
717	27239	10698
718	27278	10661
719	27315	10622
720	27353	10584
721	27389	10545
722	27429	10508
723	27464	10469
724	27499	10430
725	27534	10391
726	27569	10352
727	27605	10314
728	27643	10276
729	27678	10237
730	27712	10198
731	27747	10158
732	27782	10120
733	27817	10081
734	27860	10045
735	27896	10006
736	27934	9968
737	27969	9929
738	28007	9891
739	28050	9855
740	28085	9816
741	28090	9767
742	28125	9728
743	28159	9689
744	28194	9650
745	28235	9613
746	28271	9575
747	28305	9535
748	28340	9497
749	28374	9458
750	28417	9422
751	28451	9383
752	28486	9344
753	28522	9305
754	28556	9266
755	28597	9229
756	28633	9191
757	28668	9152
758	28702	9113
759	28736	9074
760	28778	9038
761	28815	9000
762	28850	8961
763	28885	8922
764	28921	8884
765	28963	8847
766	28998	8809
767	29003	8761
768	29038	8722
769	29072	8684
770	29107	8645
771	29147	8608
772	29182	8569
773	29216	8530
774	29250	8492
775	29285	8453
776	29329	8417
777	29364	8379
778	29404	8342
779	29409	8295
780	29444	8256
781	29478	8217
782	29521	8181
783	29556	8143
784	29591	8104
785	29625	8066
786	29659	8027
787	29698	7989
788	29734	7951
789	29769	7913
790	29803	7874
791	29838	7836
792	29850	7792
793	29889	7754
794	29925	7716
795	29961	7678
796	29997	7640
797	30032	7602
798	30074	7565
799	30108	7527
800	30142	7488
801	30177	7450
802	30211	7411
803	30246	7373
804	30291	7337
805	30328	7299
806	30346	7257
807	30380	7219
808	30415	7180
809	30460	7144
810	30501	7108
811	30535	7069
812	30570	7031
813	30604	6993
814	30638	6954
