iter	RMSE
0	0.3514096649
1	0.3290066704
2	0.3078418927
3	0.2888957235
4	0.2731338919
5	0.2585605595
6	0.2451729797
7	0.2313336135
8	0.2197942374
9	0.2088022702
10	0.1996491151
11	0.1905932482
12	0.1825619469
13	0.1757764225
14	0.1686559959
15	0.1625187115
16	0.157137089
17	0.1521213703
18	0.1477751095
19	0.1433546199
20	0.1389888919
21	0.1351306131
22	0.1320085718
23	0.1287599447
24	0.1260008464
25	0.1230852364
26	0.1205991618
27	0.1182133398
28	0.1163086903
29	0.1138682388
30	0.1118910617
31	0.1102148092
32	0.1082126633
33	0.1065256898
34	0.1049613372
35	0.103673352
36	0.1022450148
37	0.1008504104
38	0.099571712
39	0.09831618214
40	0.09720853077
41	0.09617589102
42	0.09507938383
43	0.09420757455
44	0.09337462147
45	0.09256244281
46	0.09185330559
47	0.09090767596
48	0.09015405341
49	0.08932141212
50	0.08856219746
51	0.08786846288
52	0.08711647679
53	0.08659601036
54	0.08609571587
55	0.08538816202
56	0.08483670611
57	0.08415615792
58	0.08361437098
59	0.08297199721
60	0.08256672949
61	0.08209090693
62	0.08151402333
63	0.08089320714
64	0.08030244687
65	0.07998108519
66	0.07965723094
67	0.07920585182
68	0.07886987999
69	0.07834754326
70	0.07801230691
71	0.07760071236
72	0.07717883034
73	0.07677167369
74	0.07646342337
75	0.07601618639
76	0.07565415676
77	0.07505975269
78	0.07450220203
79	0.0740957292
80	0.07359642529
81	0.0732557326
82	0.07298565409
83	0.07244866576
84	0.07220437499
85	0.07188779355
86	0.07147261439
87	0.07103216414
88	0.07063626862
89	0.07023958927
90	0.06983032637
91	0.06951095352
92	0.06877427528
93	0.06838359342
94	0.06807786261
95	0.06788950251
96	0.06772711757
97	0.06724940248
98	0.06687595888
99	0.06674396141
100	0.06619258149
101	0.06557739291
102	0.06542386326
103	0.06496545736
104	0.06484304715
105	0.0646698531
106	0.06453593863
107	0.06388260024
108	0.06313118149
109	0.0629349424
110	0.06277925721
111	0.06221340367
112	0.06202704152
113	0.06133335113
114	0.06092527328
115	0.06043152981
116	0.06005655572
117	0.05995615524
118	0.05970376531
119	0.05940958403
120	0.05929880283
121	0.05895140436
122	0.05863431611
123	0.05851084601
124	0.05828878495
125	0.05793480801
126	0.05757509158
127	0.0572597874
